,H2,CH4,C2H4,C2H2,C2H6,CO,CO2,O2,N2,TOTALHYDROCARBON
0,2.442,0.586,0.0,0.0,0.0,7.809,53.965,,,0.586
1,2.442,0.586,0.0,0.0,0.0,7.809,53.965,,,0.586
2,2.442,0.586,0.0,0.0,0.0,7.809,53.965,,,0.586
3,2.442,0.586,0.0,0.0,0.0,7.809,53.965,,,0.586
4,2.442,0.586,0.0,0.0,0.0,7.809,53.965,,,0.586
5,2.442,0.586,0.0,0.0,0.0,7.809,53.965,,,0.586
6,2.478,0.586,0.0,0.0,0.0,7.927,53.272,,,0.586
7,2.478,0.586,0.0,0.0,0.0,7.927,53.272,,,0.586
8,2.478,0.586,0.0,0.0,0.0,7.927,53.272,,,0.586
9,2.478,0.586,0.0,0.0,0.0,7.927,53.272,,,0.586
10,2.478,0.586,0.0,0.0,0.0,7.927,53.272,,,0.586
11,2.478,0.586,0.0,0.0,0.0,7.927,53.272,,,0.586
12,2.478,0.586,0.0,0.0,0.0,7.927,53.272,,,0.586
13,2.478,0.586,0.0,0.0,0.0,7.927,53.272,,,0.586
14,2.493,0.586,0.0,0.0,0.0,8.208,49.318,,,0.586
15,2.493,0.586,0.0,0.0,0.0,8.208,49.318,,,0.586
16,2.493,0.586,0.0,0.0,0.0,8.208,49.318,,,0.586
17,2.493,0.586,0.0,0.0,0.0,8.208,49.318,,,0.586
18,2.493,0.586,0.0,0.0,0.0,8.208,49.318,,,0.586
19,2.493,0.586,0.0,0.0,0.0,8.208,49.318,,,0.586
20,2.493,0.586,0.0,0.0,0.0,8.208,49.318,,,0.586
21,2.493,0.586,0.0,0.0,0.0,8.208,49.318,,,0.586
22,2.535,0.577,0.0,0.0,0.0,7.965,54.221,,,0.577
23,2.535,0.577,0.0,0.0,0.0,7.965,54.221,,,0.577
24,2.535,0.577,0.0,0.0,0.0,7.965,54.221,,,0.577
25,2.535,0.577,0.0,0.0,0.0,7.965,54.221,,,0.577
26,2.535,0.577,0.0,0.0,0.0,7.965,54.221,,,0.577
27,2.535,0.577,0.0,0.0,0.0,7.965,54.221,,,0.577
28,2.535,0.577,0.0,0.0,0.0,7.965,54.221,,,0.577
29,2.332,0.565,0.0,0.0,0.0,7.692,52.808,,,0.565
30,2.332,0.565,0.0,0.0,0.0,7.692,52.808,,,0.565
31,2.389,0.561,0.0,0.0,0.0,7.46,52.751,,,0.561
32,2.389,0.561,0.0,0.0,0.0,7.46,52.751,,,0.561
33,2.387,0.589,0.0,0.0,0.0,7.832,54.059,,,0.589
34,2.387,0.589,0.0,0.0,0.0,7.832,54.059,,,0.589
35,2.387,0.589,0.0,0.0,0.0,7.832,54.059,,,0.589
36,2.387,0.589,0.0,0.0,0.0,7.832,54.059,,,0.589
37,2.387,0.589,0.0,0.0,0.0,7.832,54.059,,,0.589
38,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
39,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
40,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
41,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
42,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
43,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
44,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
45,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
46,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
47,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
48,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
49,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
50,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
51,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
52,2.483,0.59,0.0,0.0,0.0,7.896,51.272,,,0.59
53,2.36,0.562,0.0,0.0,0.0,7.281,50.803,,,0.562
54,2.36,0.562,0.0,0.0,0.0,7.281,50.803,,,0.562
55,2.36,0.562,0.0,0.0,0.0,7.281,50.803,,,0.562
56,2.36,0.562,0.0,0.0,0.0,7.281,50.803,,,0.562
57,2.36,0.562,0.0,0.0,0.0,7.281,50.803,,,0.562
58,2.36,0.562,0.0,0.0,0.0,7.281,50.803,,,0.562
59,2.36,0.562,0.0,0.0,0.0,7.281,50.803,,,0.562
60,2.36,0.562,0.0,0.0,0.0,7.281,50.803,,,0.562
61,2.485,0.562,0.0,0.0,0.0,7.749,54.303,,,0.562
62,2.485,0.562,0.0,0.0,0.0,7.749,54.303,,,0.562
63,2.485,0.562,0.0,0.0,0.0,7.749,54.303,,,0.562
64,2.485,0.562,0.0,0.0,0.0,7.749,54.303,,,0.562
65,2.485,0.562,0.0,0.0,0.0,7.749,54.303,,,0.562
66,2.485,0.562,0.0,0.0,0.0,7.749,54.303,,,0.562
67,2.485,0.562,0.0,0.0,0.0,7.749,54.303,,,0.562
68,2.366,0.592,0.0,0.0,0.0,7.445,56.135,,,0.592
69,2.366,0.592,0.0,0.0,0.0,7.445,56.135,,,0.592
70,2.366,0.592,0.0,0.0,0.0,7.445,56.135,,,0.592
71,2.366,0.592,0.0,0.0,0.0,7.445,56.135,,,0.592
72,2.366,0.592,0.0,0.0,0.0,7.445,56.135,,,0.592
73,2.458,0.57,0.0,0.0,0.0,7.896,52.926,,,0.57
74,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
75,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
76,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
77,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
78,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
79,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
80,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
81,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
82,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
83,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
84,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
85,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
86,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
87,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
88,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
89,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
90,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
91,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
92,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
93,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
94,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
95,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
96,2.458,0.57,0.0,0.0,0.0,7.862,53.533,,,0.57
97,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
98,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
99,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
100,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
101,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
102,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
103,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
104,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
105,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
106,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
107,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
108,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
109,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
110,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
111,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
112,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
113,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
114,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
115,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
116,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
117,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
118,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
119,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
120,2.595,0.596,0.0,0.0,0.0,8.263,52.453,,,0.596
121,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
122,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
123,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
124,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
125,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
126,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
127,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
128,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
129,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
130,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
131,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
132,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
133,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
134,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
135,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
136,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
137,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
138,2.477,0.568,0.0,0.0,0.0,7.566,55.659,,,0.568
