,H2,CH4,C2H4,C2H2,C2H6,CO,CO2,O2,N2,TOTALHYDROCARBON
909,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
910,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
911,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
912,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
913,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
914,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
915,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
916,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
917,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
918,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
919,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
920,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
921,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
922,27.79,12.49,1.39,0.0,7.76,391.24,872.8,,,21.65
923,26.18,10.59,1.4,0.0,6.77,374.9,872.82,,,18.76
924,26.18,10.59,1.4,0.0,6.77,374.9,872.82,,,18.76
925,26.18,10.59,1.4,0.0,6.77,374.9,872.82,,,18.76
926,26.18,10.59,1.4,0.0,6.77,374.9,872.82,,,18.76
927,26.18,10.59,1.4,0.0,6.77,374.9,872.82,,,18.76
928,26.18,10.59,1.4,0.0,6.77,374.9,872.82,,,18.76
929,26.18,10.59,1.4,0.0,6.77,374.9,872.82,,,18.76
930,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
931,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
932,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
933,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
934,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
935,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
936,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
937,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
938,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
939,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
940,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
941,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
942,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
943,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
944,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
945,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
946,26.04,10.98,1.36,0.0,6.68,375.37,853.02,,,19.02
947,22.13,6.77,0.0,0.0,6.1,306.34,876.28,,,12.87
948,22.13,6.77,0.0,0.0,6.1,306.34,876.28,,,12.87
949,22.13,6.77,0.0,0.0,6.1,306.34,876.28,,,12.87
950,22.13,6.77,0.0,0.0,6.1,306.34,876.28,,,12.87
951,22.13,6.77,0.0,0.0,6.1,306.34,876.28,,,12.87
952,22.13,6.77,0.0,0.0,6.1,306.34,876.28,,,12.87
953,22.13,6.77,0.0,0.0,6.1,306.34,876.28,,,12.87
954,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
955,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
956,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
957,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
958,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
959,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
960,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
961,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
962,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
963,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
964,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
965,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
966,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
967,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
968,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
969,24.01,8.45,0.85,0.0,6.53,344.21,874.09,,,15.84
970,24.06,8.34,0.86,0.0,6.49,343.95,874.47,,,15.68
971,24.06,8.34,0.86,0.0,6.49,343.95,874.47,,,15.68
972,24.06,8.34,0.86,0.0,6.49,343.95,874.47,,,15.68
973,24.06,8.34,0.86,0.0,6.49,343.95,874.47,,,15.68
974,24.06,8.34,0.86,0.0,6.49,343.95,874.47,,,15.68
975,24.06,8.34,0.86,0.0,6.49,343.95,874.47,,,15.68
976,24.06,8.34,0.86,0.0,6.49,343.95,874.47,,,15.68
977,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
978,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
979,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
980,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
981,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
982,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
983,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
984,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
985,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
986,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
987,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
988,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
989,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
990,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
991,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
992,23.99,8.92,0.91,0.0,6.35,345.06,874.53,,,16.18
993,24.29,9.34,1.08,0.0,6.47,348.93,874.29,,,16.89
994,24.29,9.34,1.08,0.0,6.47,348.93,874.29,,,16.89
995,24.29,9.34,1.08,0.0,6.47,348.93,874.29,,,16.89
996,24.29,9.34,1.08,0.0,6.47,348.93,874.29,,,16.89
997,24.29,9.34,1.08,0.0,6.47,348.93,874.29,,,16.89
998,24.29,9.34,1.08,0.0,6.47,348.93,874.29,,,16.89
999,22.24,6.79,0.71,0.0,6.28,295.1,877.4,,,13.78
1000,22.66,7.13,0.78,0.0,6.18,310.09,875.6,,,14.09
1001,26.37,11.5,1.19,0.0,6.84,367.68,873.5,,,19.53
1002,24.45,10.2,1.01,0.0,6.76,345.49,873.91,,,17.98
1003,22.98,8.45,0.89,0.0,6.58,335.67,874.71,,,15.92
1004,22.22,6.94,0.7,0.0,6.35,295.92,875.79,,,13.98
1005,23.6,7.89,0.84,0.0,7.08,322.96,875.09,,,15.8
