,H2,CH4,C2H4,C2H2,C2H6,CO,CO2,O2,N2,TOTALHYDROCARBON
0,2.422,0.669,0.0,0.0,0.0,5.091,72.179,,,0.669
1,2.422,0.669,0.0,0.0,0.0,5.091,72.179,,,0.669
2,2.422,0.669,0.0,0.0,0.0,5.091,72.179,,,0.669
3,2.422,0.669,0.0,0.0,0.0,5.091,72.179,,,0.669
4,2.422,0.669,0.0,0.0,0.0,5.091,72.179,,,0.669
5,2.422,0.669,0.0,0.0,0.0,5.091,72.179,,,0.669
6,2.534,0.678,0.0,0.0,0.0,5.481,74.334,,,0.678
7,2.534,0.678,0.0,0.0,0.0,5.481,74.334,,,0.678
8,2.534,0.678,0.0,0.0,0.0,5.481,74.334,,,0.678
9,2.534,0.678,0.0,0.0,0.0,5.481,74.334,,,0.678
10,2.534,0.678,0.0,0.0,0.0,5.481,74.334,,,0.678
11,2.534,0.678,0.0,0.0,0.0,5.481,74.334,,,0.678
12,2.534,0.678,0.0,0.0,0.0,5.481,74.334,,,0.678
13,2.534,0.678,0.0,0.0,0.0,5.481,74.334,,,0.678
14,2.593,0.634,0.0,0.0,0.0,5.422,74.499,,,0.634
15,2.593,0.634,0.0,0.0,0.0,5.422,74.499,,,0.634
16,2.593,0.634,0.0,0.0,0.0,5.422,74.499,,,0.634
17,2.593,0.634,0.0,0.0,0.0,5.422,74.499,,,0.634
18,2.593,0.634,0.0,0.0,0.0,5.422,74.499,,,0.634
19,2.593,0.634,0.0,0.0,0.0,5.422,74.499,,,0.634
20,2.593,0.634,0.0,0.0,0.0,5.422,74.499,,,0.634
21,2.593,0.634,0.0,0.0,0.0,5.422,74.499,,,0.634
22,2.514,0.632,0.0,0.0,0.0,5.419,69.905,,,0.632
23,2.514,0.632,0.0,0.0,0.0,5.419,69.905,,,0.632
24,2.514,0.632,0.0,0.0,0.0,5.419,69.905,,,0.632
25,2.514,0.632,0.0,0.0,0.0,5.419,69.905,,,0.632
26,2.514,0.632,0.0,0.0,0.0,5.419,69.905,,,0.632
27,2.514,0.632,0.0,0.0,0.0,5.419,69.905,,,0.632
28,2.514,0.632,0.0,0.0,0.0,5.419,69.905,,,0.632
29,2.514,0.632,0.0,0.0,0.0,5.419,69.905,,,0.632
30,2.455,0.642,0.0,0.0,0.0,5.336,68.95,,,0.642
31,2.455,0.642,0.0,0.0,0.0,5.336,68.95,,,0.642
32,2.462,0.673,0.0,0.0,0.0,5.684,76.053,,,0.673
33,2.462,0.673,0.0,0.0,0.0,5.684,76.053,,,0.673
34,2.462,0.673,0.0,0.0,0.0,5.684,76.053,,,0.673
35,2.462,0.673,0.0,0.0,0.0,5.684,76.053,,,0.673
36,2.462,0.673,0.0,0.0,0.0,5.684,76.053,,,0.673
37,2.462,0.673,0.0,0.0,0.0,5.684,76.053,,,0.673
38,2.435,0.69,0.0,0.0,0.0,5.848,75.959,,,0.69
39,2.435,0.69,0.0,0.0,0.0,5.848,75.959,,,0.69
40,2.435,0.69,0.0,0.0,0.0,5.848,75.959,,,0.69
41,2.435,0.69,0.0,0.0,0.0,5.848,75.959,,,0.69
42,2.435,0.69,0.0,0.0,0.0,5.848,75.959,,,0.69
43,2.435,0.69,0.0,0.0,0.0,5.848,75.959,,,0.69
44,2.435,0.69,0.0,0.0,0.0,5.848,75.959,,,0.69
45,2.67,0.674,0.0,0.0,0.0,5.698,71.633,,,0.674
46,2.67,0.674,0.0,0.0,0.0,5.698,71.633,,,0.674
47,2.67,0.674,0.0,0.0,0.0,5.698,71.633,,,0.674
